"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-4.243631,55.865782,174,2020-07-23,9,"GLKP","Glasgow Townhead","Urban Background",18.2098995833333
-0.460861,51.49633,174,2020-07-23,10,"HIL","London Hillingdon","Urban Background",44.5255929166667
-0.341222,53.74878,174,2020-07-23,11,"HUL2","Hull Freetown","Urban Background",32.8847025
-1.127182,52.619904,174,2020-07-23,12,"LECU","Leicester University","Urban Background",35.9156716666667
-2.73684,52.221593,174,2020-07-23,13,"LEOM","Leominster","Suburban Background",43.1403825
-7.900328,54.43951,174,2020-07-23,14,"LN","Lough Navar","Rural Background",24.92477
-2.238917,53.371722,174,2020-07-23,15,"MAHG","Manchester Sharston","Suburban Industrial",32.498035
-2.237881,53.48152,174,2020-07-23,16,"MAN3","Manchester Piccadilly","Urban Background",20.8924866666667
-9.903917,53.326444,174,2020-07-23,17,"MH","Mace Head","Rural Background",42.8601520833333
-1.610528,54.97825,174,2020-07-23,18,"NEWC","Newcastle Centre","Urban Background",21.8560828571429
1.302686,52.614823,174,2020-07-23,19,"NO12","Norwich Lakenfields","Urban Background",58.7657441666667
-1.146447,52.95473,174,2020-07-23,20,"NOTT","Nottingham Centre","Urban Background",38.46226875
-0.916605,52.272257,174,2020-07-23,21,"NTN4","Northampton Spring Park","Urban Background",49.83429375
1.04901,51.777874,174,2020-07-23,22,"OSY","St Osyth","Rural Background",80.1384425
-3.196527,55.657472,174,2020-07-23,23,"PEEB","Peebles","Urban Background",24.8297079166667
-4.142361,50.37167,174,2020-07-23,24,"PLYM","Plymouth Centre","Urban Background",35.4590166666667
0.678331,51.544166,174,2020-07-23,25,"SEND","Southend-on-Sea","Urban Background",65.5199425
1.463497,52.2944,174,2020-07-23,26,"SIB","Sibton","Rural Background",71.2776733333333
-2.175133,53.02821,174,2020-07-23,27,"STOK","Stoke-on-Trent Centre","Urban Background",37.060727826087
-1.406878,54.88361,174,2020-07-23,28,"SUN2","Sunderland Silksworth","Urban Background",32.2908429166667
-3.022722,53.37287,174,2020-07-23,29,"TRAN","Wirral Tranmere","Urban Background",35.8851825
-2.030371,52.605641,174,2020-07-23,30,"WAL4","Walsall Woodlands","Urban Background",45.8962508333333
0.290917,52.2985,174,2020-07-23,31,"WFEN","Wicken Fen","Rural Background",55.6252870833333
-2.638139,53.54914,174,2020-07-23,32,"WIG5","Wigan Centre","Urban Background",28.7110570833333
-3.2429,55.79216,175,2020-07-24,1,"ACTH","Auchencorth Moss","Rural Background",43.33718125
-1.874978,52.476145,175,2020-07-24,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",29.39707875
-3.205782,55.862281,175,2020-07-24,3,"BUSH","Bush Estate","Rural Background",42.4370375
-1.560189,52.411628,175,2020-07-24,4,"COAL","Coventry Allesley","Urban Background",40.8280041666667
-3.182186,55.945589,175,2020-07-24,7,"ED3","Edinburgh St Leonards","Urban Background",36.8366041666667
-5.101102,56.82266,175,2020-07-24,8,"FW","Fort William","Suburban Background",35.4235354166667
-4.243631,55.865782,175,2020-07-24,9,"GLKP","Glasgow Townhead","Urban Background",32.1503675
-0.460861,51.49633,175,2020-07-24,10,"HIL","London Hillingdon","Urban Background",30.8044625
-0.341222,53.74878,175,2020-07-24,11,"HUL2","Hull Freetown","Urban Background",42.5700841666667
-1.127182,52.619904,175,2020-07-24,12,"LECU","Leicester University","Urban Background",28.3236954166667
-2.73684,52.221593,175,2020-07-24,13,"LEOM","Leominster","Suburban Background",36.400045
-7.900328,54.43951,175,2020-07-24,14,"LN","Lough Navar","Rural Background",22.3414466666667
-2.238917,53.371722,175,2020-07-24,15,"MAHG","Manchester Sharston","Suburban Industrial",34.2782270833333
-2.237881,53.48152,175,2020-07-24,16,"MAN3","Manchester Piccadilly","Urban Background",23.2346608333333
-9.903917,53.326444,175,2020-07-24,17,"MH","Mace Head","Rural Background",42.2722520833333
-1.610528,54.97825,175,2020-07-24,18,"NEWC","Newcastle Centre","Urban Background",31.0026466666667
1.302686,52.614823,175,2020-07-24,19,"NO12","Norwich Lakenfields","Urban Background",39.4303204166667
-1.146447,52.95473,175,2020-07-24,20,"NOTT","Nottingham Centre","Urban Background",38.3617904166667
-0.916605,52.272257,175,2020-07-24,21,"NTN4","Northampton Spring Park","Urban Background",44.18535375
1.04901,51.777874,175,2020-07-24,22,"OSY","St Osyth","Rural Background",42.9033933333333
