"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-4.243631,55.865782,194,2020-08-12,14,"GLKP","Glasgow Townhead","Urban Background",8.74016666666667
-0.037418,51.449674,194,2020-08-12,15,"HP1","London Honor Oak Park","Urban Background",37.3194166666667
-0.213492,51.52105,194,2020-08-12,16,"KC1","London N. Kensington","Urban Background",25.9391818181818
-1.533119,52.28881,194,2020-08-12,17,"LEAM","Leamington Spa","Urban Background",19.7543333333333
-7.900328,54.43951,194,2020-08-12,18,"LN","Lough Navar","Rural Background",4.60495833333333
1.302686,52.614823,194,2020-08-12,19,"NO12","Norwich Lakenfields","Urban Background",27.8382083333333
-1.146447,52.95473,194,2020-08-12,20,"NOTT","Nottingham Centre","Urban Background",27.8302916666667
-1.260278,51.744806,194,2020-08-12,21,"OX8","Oxford St Ebbes","Urban Background",17.1659166666667
-2.680353,53.76559,194,2020-08-12,22,"PRES","Preston","Urban Background",18.4799166666667
0.634889,51.45617,194,2020-08-12,23,"ROCH","Rochester Stoke","Rural Background",53.20575
0.678331,51.544166,194,2020-08-12,24,"SEND","Southend-on-Sea","Urban Background",41.896875
-1.478096,53.378622,194,2020-08-12,25,"SHDG","Sheffield Devonshire Green","Urban Background",20.481625
-1.395757,50.908173,194,2020-08-12,26,"SOUT","Southampton Centre","Urban Background",15.4884166666667
-1.406878,54.88361,194,2020-08-12,27,"SUN2","Sunderland Silksworth","Urban Background",15.75375
-3.022722,53.37287,194,2020-08-12,28,"TRAN","Wirral Tranmere","Urban Background",14.8939583333333
-2.638139,53.54914,194,2020-08-12,29,"WIG5","Wigan Centre","Urban Background",15.9706666666667
-3.002829,53.042282,194,2020-08-12,30,"WREX","Wrexham","Urban Traffic",19.2493333333333
-2.094278,57.15736,195,2020-08-13,1,"ABD","Aberdeen","Urban Background",4.93120833333333
-3.2429,55.79216,195,2020-08-13,2,"ACTH","Auchencorth Moss","Rural Background",7.13829166666667
-5.928833,54.59965,195,2020-08-13,3,"BEL2","Belfast Centre","Urban Background",10.7665
-1.874978,52.476145,195,2020-08-13,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",21.377875
-3.007175,53.80489,195,2020-08-13,5,"BLC2","Blackpool Marton","Urban Background",15.5915416666667
-1.918235,52.481346,195,2020-08-13,6,"BMLD","Birmingham Ladywood","Urban Background",22.0432083333333
-1.454946,53.244131,195,2020-08-13,7,"CHLG","Chesterfield Loundsley Green","Urban Background",16.4319583333333
-1.456928,53.231751,195,2020-08-13,8,"CHS7","Chesterfield Roadside","Urban Traffic",16.914375
-1.560189,52.411628,195,2020-08-13,9,"COAL","Coventry Allesley","Urban Background",22.456875
-2.334139,53.48481,195,2020-08-13,10,"ECCL","Salford Eccles","Urban Background",12.7889166666667
-3.182186,55.945589,195,2020-08-13,11,"ED3","Edinburgh St Leonards","Urban Background",7.58554166666667
-4.238214,55.860936,195,2020-08-13,12,"GHSR","Glasgow High Street","Urban Traffic",7.50104166666667
-4.734421,55.944079,195,2020-08-13,13,"GKA8","Greenock A8 Roadside","Urban Traffic",10.7515
-4.243631,55.865782,195,2020-08-13,14,"GLKP","Glasgow Townhead","Urban Background",8.37992307692308
-0.037418,51.449674,195,2020-08-13,15,"HP1","London Honor Oak Park","Urban Background",23.8217916666667
-0.213492,51.52105,195,2020-08-13,16,"KC1","London N. Kensington","Urban Background",20.1700416666667
-1.533119,52.28881,195,2020-08-13,17,"LEAM","Leamington Spa","Urban Background",21.255875
-7.900328,54.43951,195,2020-08-13,18,"LN","Lough Navar","Rural Background",6.82395833333333
1.302686,52.614823,195,2020-08-13,19,"NO12","Norwich Lakenfields","Urban Background",15.4265416666667
-1.146447,52.95473,195,2020-08-13,20,"NOTT","Nottingham Centre","Urban Background",18.2764166666667
-1.260278,51.744806,195,2020-08-13,21,"OX8","Oxford St Ebbes","Urban Background",19.9519166666667
-2.680353,53.76559,195,2020-08-13,22,"PRES","Preston","Urban Background",11.7737916666667
0.634889,51.45617,195,2020-08-13,23,"ROCH","Rochester Stoke","Rural Background",28.1368333333333
0.678331,51.544166,195,2020-08-13,24,"SEND","Southend-on-Sea","Urban Background",23.5987916666667
